SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
25,ADC_AD7663AS_0.ADC_DO_1[15:0],Top|PCI_CLK2,ADC_AD7663AS|ram_wr_clk_inferred_clock,ADC_AD7663AS_0.data_in_ram.ram[15:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
26,ADC_AD7663AS_0.sdout_buf[15:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
27,ADC_AD7663AS_0.sp[15:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
28,ADC_AD7663AS_0.ad_sclk_en,Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
29,ADC_AD7663AS_0.ram_wr_clk,Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
30,ADC_AD7663AS_0.AD_CNVST,Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
31,ADC_AD7663AS_0.ram_wr_pt[9:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
32,ADC_AD7663AS_0.clk_aq_high[1:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
33,ADC_AD7663AS_0.clk_aq_low[1:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
34,ADC_AD7663AS_0.time_out_count[6:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
35,ADC_AD7663AS_0.data_count[10:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
36,ADC_AD7663AS_0.status[11:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.control[2:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
37,ADC_AD7663AS_0.state[23:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.data_length[11:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
38,ADC_AD7663AS_0.data_in_ram.ram[15:0],ADC_AD7663AS|ram_wr_clk_inferred_clock,Top|SYSCLK,ADC_AD7663AS_0.sdout_buf[15:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
39,ADC_AD7663AS_0.sclk.clkout,Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.clk_div_sd[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
40,ADC_AD7663AS_0.sclk.cntr[15:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.clk_div_sd[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
41,ADC_AD7663AS_0.aqclkdiv.clkout,Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.clk_div_aq[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
42,ADC_AD7663AS_0.aqclkdiv.cntr[15:0],Top|SYSCLK,Top|PCI_CLK2,ADC_AD7663AS_0.clk_div_aq[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
