pin,slack
eeprom_0/eeprom_page_wrdata6[27]:D,8914
eeprom_0/eeprom_page_wrdata6[27]:EN,3994
eeprom_0/eeprom_page_wrdata6[27]:Q,5574
HDW_FPGA_DONE_obuf/U_IOTRI:D,
HDW_FPGA_DONE_obuf/U_IOTRI:DOUT,
HDW_FPGA_DONE_obuf/U_IOTRI:EOUT,
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wfull_next_NE_2:A,7369
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wfull_next_NE_2:B,7328
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wfull_next_NE_2:C,4192
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wfull_next_NE_2:D,4212
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wfull_next_NE_2:Y,4192
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wq1_rgray[1]:ALn,
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wq1_rgray[1]:CLK,9030
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wq1_rgray[1]:D,9030
u_cmd_server/msg_buffer_inst/tx_fifo_inst/wq1_rgray[1]:Q,9030
u_clkgen/pulse2khz_div/un5_cntr_cry_4:B,7640
u_clkgen/pulse2khz_div/un5_cntr_cry_4:CC,7674
u_clkgen/pulse2khz_div/un5_cntr_cry_4:P,7640
u_clkgen/pulse2khz_div/un5_cntr_cry_4:S,7674
u_clkgen/pulse2khz_div/un5_cntr_cry_4:Y3,
u_clkgen/pulse2khz_div/un5_cntr_cry_4:Y3A,
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[32]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[32]:B,
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[32]:C,6384
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[32]:D,6719
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[32]:Y,6384
phy_if_0/tx_package_RNO[4]:A,5450
phy_if_0/tx_package_RNO[4]:B,8165
phy_if_0/tx_package_RNO[4]:C,7960
phy_if_0/tx_package_RNO[4]:Y,5450
u_cmd_server/opb_emu_target_inst/state[1]:ALn,
u_cmd_server/opb_emu_target_inst/state[1]:CLK,8203
u_cmd_server/opb_emu_target_inst/state[1]:EN,8035
u_cmd_server/opb_emu_target_inst/state[1]:Q,8203
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[14]:A,8248
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[14]:B,8202
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[14]:C,6815
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[14]:Y,6815
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[180]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[180]:B,8008
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[180]:C,6777
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[180]:D,6268
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[180]:Y,6268
phy_if_0/phy_rx_status[9]:ALn,
phy_if_0/phy_rx_status[9]:CLK,5692
phy_if_0/phy_rx_status[9]:D,8591
phy_if_0/phy_rx_status[9]:Q,5692
HSSB_PMII_TX_DATA2_ibuf/U_IOPAD:PAD,
HSSB_PMII_TX_DATA2_ibuf/U_IOPAD:Y,
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[253]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[253]:B,8044
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_wrdata_reg_11[253]:Y,8044
phy_if_0/un2_rx_good_and_RNO_72_CC_1:CC[0],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:CC[1],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:CC[2],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:CC[3],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:CC[4],3552
phy_if_0/un2_rx_good_and_RNO_72_CC_1:CI,3552
phy_if_0/un2_rx_good_and_RNO_72_CC_1:P[0],5390
phy_if_0/un2_rx_good_and_RNO_72_CC_1:P[1],5313
phy_if_0/un2_rx_good_and_RNO_72_CC_1:P[2],5422
phy_if_0/un2_rx_good_and_RNO_72_CC_1:P[3],5606
phy_if_0/un2_rx_good_and_RNO_72_CC_1:P[4],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:Y3A[0],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:Y3A[1],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:Y3A[2],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:Y3A[3],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:Y3A[4],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:Y3[0],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:Y3[1],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:Y3[2],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:Y3[3],
phy_if_0/un2_rx_good_and_RNO_72_CC_1:Y3[4],
phy_if_0/OPB_DO_RNO_5[6]:A,4736
phy_if_0/OPB_DO_RNO_5[6]:B,4682
phy_if_0/OPB_DO_RNO_5[6]:C,3330
phy_if_0/OPB_DO_RNO_5[6]:D,2712
phy_if_0/OPB_DO_RNO_5[6]:Y,2712
phy_if_0/phy_rx_status[3]:ALn,
phy_if_0/phy_rx_status[3]:CLK,4846
phy_if_0/phy_rx_status[3]:D,8597
phy_if_0/phy_rx_status[3]:Q,4846
u_cmd_server/msg_buffer_inst/tx_fifo_inst/rbin_Z[4]:ALn,
u_cmd_server/msg_buffer_inst/tx_fifo_inst/rbin_Z[4]:CLK,7182
u_cmd_server/msg_buffer_inst/tx_fifo_inst/rbin_Z[4]:D,6285
u_cmd_server/msg_buffer_inst/tx_fifo_inst/rbin_Z[4]:Q,7182
eeprom_0/EEP_DO_20_12_1_wmux_0[16]:A,4035
eeprom_0/EEP_DO_20_12_1_wmux_0[16]:B,4816
eeprom_0/EEP_DO_20_12_1_wmux_0[16]:C,6566
eeprom_0/EEP_DO_20_12_1_wmux_0[16]:D,6508
eeprom_0/EEP_DO_20_12_1_wmux_0[16]:Y,4035
oscillator_counter_1/opb_fifo_inst/rbin[0]:ALn,
oscillator_counter_1/opb_fifo_inst/rbin[0]:CLK,
oscillator_counter_1/opb_fifo_inst/rbin[0]:D,
oscillator_counter_1/opb_fifo_inst/rbin[0]:Q,
u_cmd_server/msg_buffer_inst/rx_fifo_inst/rgraynext_0_a2_0_o2[1]:A,5626
u_cmd_server/msg_buffer_inst/rx_fifo_inst/rgraynext_0_a2_0_o2[1]:B,4630
u_cmd_server/msg_buffer_inst/rx_fifo_inst/rgraynext_0_a2_0_o2[1]:C,5551
u_cmd_server/msg_buffer_inst/rx_fifo_inst/rgraynext_0_a2_0_o2[1]:Y,4630
u_cmd_server/cmn_uart_inst/uart_rx_data_block[0]:ALn,
u_cmd_server/cmn_uart_inst/uart_rx_data_block[0]:CLK,8209
u_cmd_server/cmn_uart_inst/uart_rx_data_block[0]:D,9024
u_cmd_server/cmn_uart_inst/uart_rx_data_block[0]:EN,5333
u_cmd_server/cmn_uart_inst/uart_rx_data_block[0]:Q,8209
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[48]:ALn,6478
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[48]:CLK,3572
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[48]:D,18999
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[48]:EN,16407
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[48]:Q,3572
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[48]:SLn,18092
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[142]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[142]:B,8008
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[142]:C,6777
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[142]:D,6268
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[142]:Y,6268
eeprom_0/eeprom_if_0/page_wrdata_reg[169]:ALn,
eeprom_0/eeprom_if_0/page_wrdata_reg[169]:CLK,8248
eeprom_0/eeprom_if_0/page_wrdata_reg[169]:D,6815
eeprom_0/eeprom_if_0/page_wrdata_reg[169]:EN,3868
eeprom_0/eeprom_if_0/page_wrdata_reg[169]:Q,8248
eeprom_0/eeprom_page_wrdata2[4]:ALn,
eeprom_0/eeprom_page_wrdata2[4]:CLK,4778
eeprom_0/eeprom_page_wrdata2[4]:D,8854
eeprom_0/eeprom_page_wrdata2[4]:EN,3994
eeprom_0/eeprom_page_wrdata2[4]:Q,4778
phy_if_0/serial_mii_inst/SERIAL_MII_READ_DATA_TEMP[4]:ALn,
phy_if_0/serial_mii_inst/SERIAL_MII_READ_DATA_TEMP[4]:CLK,
phy_if_0/serial_mii_inst/SERIAL_MII_READ_DATA_TEMP[4]:D,
phy_if_0/serial_mii_inst/SERIAL_MII_READ_DATA_TEMP[4]:EN,
phy_if_0/serial_mii_inst/SERIAL_MII_READ_DATA_TEMP[4]:Q,
eeprom_0/eeprom_if_0/page_wrdata_reg[178]:ALn,
eeprom_0/eeprom_if_0/page_wrdata_reg[178]:CLK,8248
eeprom_0/eeprom_if_0/page_wrdata_reg[178]:D,6815
eeprom_0/eeprom_if_0/page_wrdata_reg[178]:EN,3868
eeprom_0/eeprom_if_0/page_wrdata_reg[178]:Q,8248
eeprom_0/eeprom_page_wrdata5[15]:ALn,
eeprom_0/eeprom_page_wrdata5[15]:CLK,4550
eeprom_0/eeprom_page_wrdata5[15]:D,8860
eeprom_0/eeprom_page_wrdata5[15]:EN,3193
eeprom_0/eeprom_page_wrdata5[15]:Q,4550
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[55]:ALn,6478
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[55]:CLK,3449
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[55]:D,19005
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[55]:EN,16407
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[55]:Q,3449
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_Z[55]:SLn,18092
phy_if_0/un4_rx_good_and_RNO_64:A,5268
phy_if_0/un4_rx_good_and_RNO_64:B,5240
phy_if_0/un4_rx_good_and_RNO_64:C,3907
phy_if_0/un4_rx_good_and_RNO_64:D,3849
phy_if_0/un4_rx_good_and_RNO_64:Y,3849
eeprom_0/EEP_DO_20_11_1_wmux_0[2]:A,2957
eeprom_0/EEP_DO_20_11_1_wmux_0[2]:B,4411
eeprom_0/EEP_DO_20_11_1_wmux_0[2]:C,5448
eeprom_0/EEP_DO_20_11_1_wmux_0[2]:D,5390
eeprom_0/EEP_DO_20_11_1_wmux_0[2]:Y,2957
scratch_pad_register_0/dev_sp2[18]:ALn,
scratch_pad_register_0/dev_sp2[18]:CLK,7426
scratch_pad_register_0/dev_sp2[18]:D,8908
scratch_pad_register_0/dev_sp2[18]:EN,4110
scratch_pad_register_0/dev_sp2[18]:Q,7426
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_ADDR_RNO[10]:A,8229
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_ADDR_RNO[10]:B,7288
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_ADDR_RNO[10]:C,6931
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_ADDR_RNO[10]:D,5537
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_ADDR_RNO[10]:Y,5537
phy_if_0/serial_mii_inst/SERIAL_MII_SHIFT_RNO[16]:A,
phy_if_0/serial_mii_inst/SERIAL_MII_SHIFT_RNO[16]:B,
phy_if_0/serial_mii_inst/SERIAL_MII_SHIFT_RNO[16]:Y,
MEL_SW_CONFIG4_ibuf/U_IOPAD:PAD,
MEL_SW_CONFIG4_ibuf/U_IOPAD:Y,
eeprom_0/EEP_DO_20_13_1_wmux_0[20]:A,3883
eeprom_0/EEP_DO_20_13_1_wmux_0[20]:B,4665
eeprom_0/EEP_DO_20_13_1_wmux_0[20]:C,6414
eeprom_0/EEP_DO_20_13_1_wmux_0[20]:D,6356
eeprom_0/EEP_DO_20_13_1_wmux_0[20]:Y,3883
eeprom_0/eeprom_if_0/eeprom_cycle_state_RNO[5]:A,8162
eeprom_0/eeprom_if_0/eeprom_cycle_state_RNO[5]:B,8177
eeprom_0/eeprom_if_0/eeprom_cycle_state_RNO[5]:C,6219
eeprom_0/eeprom_if_0/eeprom_cycle_state_RNO[5]:D,7980
eeprom_0/eeprom_if_0/eeprom_cycle_state_RNO[5]:Y,6219
eeprom_0/eeprom_page_wrdata1[1]:ALn,
eeprom_0/eeprom_page_wrdata1[1]:CLK,5560
eeprom_0/eeprom_page_wrdata1[1]:D,8842
eeprom_0/eeprom_page_wrdata1[1]:EN,3123
eeprom_0/eeprom_page_wrdata1[1]:Q,5560
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_5_i_a3_0_d_8[15]:A,7260
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_5_i_a3_0_d_8[15]:B,7060
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_5_i_a3_0_d_8[15]:C,2412
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_5_i_a3_0_d_8[15]:D,3151
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_5_i_a3_0_d_8[15]:Y,2412
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[112]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[112]:B,
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[112]:C,6384
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[112]:D,6719
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[112]:Y,6384
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_31_185:A,6324
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_31_185:B,6284
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_31_185:Y,6284
gpio_0/OPB_DO_7[9]:A,3580
gpio_0/OPB_DO_7[9]:B,4817
gpio_0/OPB_DO_7[9]:Y,3580
scratch_pad_register_0/SP_DO[5]:ALn,
scratch_pad_register_0/SP_DO[5]:CLK,5710
scratch_pad_register_0/SP_DO[5]:D,3179
scratch_pad_register_0/SP_DO[5]:Q,5710
eeprom_0/EEP_DO_20_14[21]:A,4035
eeprom_0/EEP_DO_20_14[21]:B,6405
eeprom_0/EEP_DO_20_14[21]:C,3963
eeprom_0/EEP_DO_20_14[21]:Y,3963
phy_if_0/un2_rx_good_and_RNO_29:A,6047
phy_if_0/un2_rx_good_and_RNO_29:B,5574
phy_if_0/un2_rx_good_and_RNO_29:C,5508
phy_if_0/un2_rx_good_and_RNO_29:CC,
phy_if_0/un2_rx_good_and_RNO_29:D,5809
phy_if_0/un2_rx_good_and_RNO_29:P,5508
phy_if_0/un2_rx_good_and_RNO_29:Y3,
phy_if_0/un2_rx_good_and_RNO_29:Y3A,
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[246]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[246]:B,8008
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[246]:C,6777
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[246]:D,6268
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[246]:Y,6268
gpio_0/OPB_DO_7_1[26]:A,7348
gpio_0/OPB_DO_7_1[26]:B,5483
gpio_0/OPB_DO_7_1[26]:C,7242
gpio_0/OPB_DO_7_1[26]:Y,5483
eeprom_0/eeprom_page_wrdata0[9]:ALn,
eeprom_0/eeprom_page_wrdata0[9]:CLK,5784
eeprom_0/eeprom_page_wrdata0[9]:D,8866
eeprom_0/eeprom_page_wrdata0[9]:EN,3181
eeprom_0/eeprom_page_wrdata0[9]:Q,5784
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_RNO[9]:A,5998
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_RNO[9]:B,6975
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_RNO[9]:C,2501
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_RNO[9]:D,2445
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_RNO[9]:Y,2445
phy_if_0/ctrl_pkg_transceiver_inst/ctrl_tx_data_4_53_i_m3_2_wmux_3[0]:A,14513
phy_if_0/ctrl_pkg_transceiver_inst/ctrl_tx_data_4_53_i_m3_2_wmux_3[0]:B,14478
phy_if_0/ctrl_pkg_transceiver_inst/ctrl_tx_data_4_53_i_m3_2_wmux_3[0]:C,16244
phy_if_0/ctrl_pkg_transceiver_inst/ctrl_tx_data_4_53_i_m3_2_wmux_3[0]:Y,14478
phy_if_0/tx_package_RNO[24]:A,5450
phy_if_0/tx_package_RNO[24]:B,8177
phy_if_0/tx_package_RNO[24]:C,8026
phy_if_0/tx_package_RNO[24]:Y,5450
phy_if_0/OPB_DO_RNO_3[6]:A,5629
phy_if_0/OPB_DO_RNO_3[6]:B,5581
phy_if_0/OPB_DO_RNO_3[6]:C,2712
phy_if_0/OPB_DO_RNO_3[6]:D,4107
phy_if_0/OPB_DO_RNO_3[6]:Y,2712
u_clkgen/pulse2khz_div/un5_cntr_cry_14:B,7828
u_clkgen/pulse2khz_div/un5_cntr_cry_14:CC,7557
u_clkgen/pulse2khz_div/un5_cntr_cry_14:P,7828
u_clkgen/pulse2khz_div/un5_cntr_cry_14:S,7557
u_clkgen/pulse2khz_div/un5_cntr_cry_14:Y3,
u_clkgen/pulse2khz_div/un5_cntr_cry_14:Y3A,
phy_if_0/OPB_DO_21_0_iv_4[26]:A,6108
phy_if_0/OPB_DO_21_0_iv_4[26]:B,6068
phy_if_0/OPB_DO_21_0_iv_4[26]:C,1914
phy_if_0/OPB_DO_21_0_iv_4[26]:D,1983
phy_if_0/OPB_DO_21_0_iv_4[26]:Y,1914
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_RNIFI47E[62]:A,3662
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_RNIFI47E[62]:B,3622
phy_if_0/ctrl_pkg_transceiver_inst/rx_package_RNIFI47E[62]:Y,3622
u_cmd_server/opb_emu_target_inst/msg_write_inst/state_ns_0[1]:A,5292
u_cmd_server/opb_emu_target_inst/msg_write_inst/state_ns_0[1]:B,6792
u_cmd_server/opb_emu_target_inst/msg_write_inst/state_ns_0[1]:C,8075
u_cmd_server/opb_emu_target_inst/msg_write_inst/state_ns_0[1]:D,7207
u_cmd_server/opb_emu_target_inst/msg_write_inst/state_ns_0[1]:Y,5292
eeprom_0/EEP_DO_20_16[5]:A,3029
eeprom_0/EEP_DO_20_16[5]:B,5985
eeprom_0/EEP_DO_20_16[5]:C,2957
eeprom_0/EEP_DO_20_16[5]:Y,2957
phy_if_0/tx_package[8]:ALn,
phy_if_0/tx_package[8]:CLK,4800
phy_if_0/tx_package[8]:D,5450
phy_if_0/tx_package[8]:EN,2046
phy_if_0/tx_package[8]:Q,4800
adder_decode_0/opb_wakeup_0_i_a2_1_RNI805LB:A,
adder_decode_0/opb_wakeup_0_i_a2_1_RNI805LB:B,8196
adder_decode_0/opb_wakeup_0_i_a2_1_RNI805LB:C,8087
adder_decode_0/opb_wakeup_0_i_a2_1_RNI805LB:D,7807
adder_decode_0/opb_wakeup_0_i_a2_1_RNI805LB:Y,7807
eeprom_0/EEP_DO_20_12_1_0_wmux[21]:A,4789
eeprom_0/EEP_DO_20_12_1_0_wmux[21]:B,4035
eeprom_0/EEP_DO_20_12_1_0_wmux[21]:C,5784
eeprom_0/EEP_DO_20_12_1_0_wmux[21]:D,5726
eeprom_0/EEP_DO_20_12_1_0_wmux[21]:Y,4035
eeprom_0/EEP_DO_20_11_1_0_wmux[7]:A,2957
eeprom_0/EEP_DO_20_11_1_0_wmux[7]:B,3631
eeprom_0/EEP_DO_20_11_1_0_wmux[7]:C,4666
eeprom_0/EEP_DO_20_11_1_0_wmux[7]:D,4608
eeprom_0/EEP_DO_20_11_1_0_wmux[7]:Y,2957
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[216]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[216]:B,
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[216]:C,6381
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[216]:D,6719
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[216]:Y,6381
u_cmd_server/msg_buffer_inst/tx_fifo_inst/mem_mem_0_0/RAM64x12_PHYS_0/CFG_5:B,5272
u_cmd_server/msg_buffer_inst/tx_fifo_inst/mem_mem_0_0/RAM64x12_PHYS_0/CFG_5:D,5728
u_cmd_server/msg_buffer_inst/tx_fifo_inst/mem_mem_0_0/RAM64x12_PHYS_0/CFG_5:IPB,5272
u_cmd_server/msg_buffer_inst/tx_fifo_inst/mem_mem_0_0/RAM64x12_PHYS_0/CFG_5:IPC,
u_cmd_server/msg_buffer_inst/tx_fifo_inst/mem_mem_0_0/RAM64x12_PHYS_0/CFG_5:IPD,5728
HSSB_PMII_RX_DATA0_obuf/U_IOTRI:D,
HSSB_PMII_RX_DATA0_obuf/U_IOTRI:DOUT,
HSSB_PMII_RX_DATA0_obuf/U_IOTRI:EOUT,
eeprom_0/eeprom_if_0/eeprom_cycle_state_ns_0[10]:A,7385
eeprom_0/eeprom_if_0/eeprom_cycle_state_ns_0[10]:B,7389
eeprom_0/eeprom_if_0/eeprom_cycle_state_ns_0[10]:C,4522
eeprom_0/eeprom_if_0/eeprom_cycle_state_ns_0[10]:D,7186
eeprom_0/eeprom_if_0/eeprom_cycle_state_ns_0[10]:Y,4522
scratch_pad_register_0/SP_DO[14]:ALn,
scratch_pad_register_0/SP_DO[14]:CLK,3888
scratch_pad_register_0/SP_DO[14]:D,3994
scratch_pad_register_0/SP_DO[14]:Q,3888
eeprom_0/eeprom_page_wrdata4[4]:ALn,
eeprom_0/eeprom_page_wrdata4[4]:CLK,4666
eeprom_0/eeprom_page_wrdata4[4]:D,8854
eeprom_0/eeprom_page_wrdata4[4]:EN,3181
eeprom_0/eeprom_page_wrdata4[4]:Q,4666
phy_if_0/phy_ctrl_rmii_inst/rx_dv_sync1:ALn,6478
phy_if_0/phy_ctrl_rmii_inst/rx_dv_sync1:CLK,19030
phy_if_0/phy_ctrl_rmii_inst/rx_dv_sync1:D,17256
phy_if_0/phy_ctrl_rmii_inst/rx_dv_sync1:Q,19030
phy_if_0/tx_package_RNO[106]:A,5445
phy_if_0/tx_package_RNO[106]:B,8177
phy_if_0/tx_package_RNO[106]:C,7972
phy_if_0/tx_package_RNO[106]:Y,5445
eeprom_0/eeprom_if_0/page_wrdata_reg[81]:ALn,
eeprom_0/eeprom_if_0/page_wrdata_reg[81]:CLK,8248
eeprom_0/eeprom_if_0/page_wrdata_reg[81]:D,6815
eeprom_0/eeprom_if_0/page_wrdata_reg[81]:EN,3868
eeprom_0/eeprom_if_0/page_wrdata_reg[81]:Q,8248
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[170]:A,8242
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[170]:B,8008
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[170]:C,6777
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[170]:D,6268
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.page_rddata_reg_40_32[170]:Y,6268
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_DO[16]:ALn,
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_DO[16]:CLK,7078
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_DO[16]:D,5352
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_DO[16]:EN,5951
u_cmd_server/opb_emu_target_inst/msg_read_inst/OPB_DO[16]:Q,7078
phy_if_0/tx_package_RNO[57]:A,5445
phy_if_0/tx_package_RNO[57]:B,8177
phy_if_0/tx_package_RNO[57]:C,8026
phy_if_0/tx_package_RNO[57]:Y,5445
phy_if_0/tx_package[104]:ALn,
phy_if_0/tx_package[104]:CLK,5177
phy_if_0/tx_package[104]:D,5445
phy_if_0/tx_package[104]:EN,2046
phy_if_0/tx_package[104]:Q,5177
phy_if_0/OPB_DO[28]:ALn,
phy_if_0/OPB_DO[28]:CLK,7314
phy_if_0/OPB_DO[28]:D,1744
